,three-helix,beta-bridge,turn,ahelix,beta-sheet,bend,five-helix,coil
0,0.466,0.318,0.49,0.502,0.384,0.516,0.315,0.555
1,0.51,0.345,0.513,0.484,0.385,0.559,0.347,0.677
2,0.51,0.33,0.517,0.497,0.344,0.564,0.328,0.765
3,0.532,0.341,0.539,0.53,0.343,0.59,0.35,0.81
4,0.554,0.378,0.556,0.539,0.35,0.609,0.355,0.828
5,0.573,0.378,0.57,0.558,0.368,0.623,0.377,0.841
6,0.571,0.363,0.564,0.55,0.349,0.617,0.401,0.841
7,0.588,0.393,0.572,0.562,0.359,0.626,0.362,0.848
8,0.593,0.403,0.572,0.562,0.368,0.629,0.407,0.851
9,0.596,0.407,0.578,0.561,0.346,0.629,0.405,0.849
10,0.587,0.411,0.564,0.55,0.357,0.624,0.359,0.845
